CompoundID,Primary_Target_Assay,Primary_Target_Assay_BioActivity,TPSA,ClogP,LogD,Num_H_Donors,Num_H_Acceptors,Num_AromaticRings,F_SP3,Drug_Class,Cell Permeability,Cmpd Solubility (uM),fafg (Rat),Bioavailability (Rat),"Clint,mic (L/hr/kg) (Rat)",Molecular_Weight (amu)
CM-1242954,JAK1 EC50(uM),0.157,75.52,0.578,0.5478,1,7,3.0,0.57143,Class B,,489.0,,,,381.47
CM-1265068,JAK1 EC50(uM),0.111,46.5,2.531,2.531,1,4,3.0,0.42857,Class B,65.1,62.0,,,10.5,240.3
CM-1206156,JAK1 EC50(uM),0.101,90.08,0.222,0.2214,1,7,3.0,0.44444,Class B,,525.0,,,,334.38
CM-1695501,JAK1 EC50(uM),3.0,70.83,0.489,-2.0206,3,5,2.0,0.45455,Class B,,,,,,217.27
CM-1761484,JAK1 EC50(uM),3.0,87.5,1.688,1.6879,1,8,3.0,0.40909,Class B,3.24,325.0,0.863,25.9,2.5,410.47
CM-1180681,JAK1 EC50(uM),3.0,105.04,-0.797,-0.7971,2,8,3.0,0.5625,Class B,,389.0,,,,358.42
CM-1703715,JAK1 EC50(uM),3.0,78.31,0.846,0.8265,2,7,3.0,0.47059,Class B,21.4,530.0,,,30.1,380.37
CM-1341309,JAK1 EC50(uM),3.0,89.57,0.599,0.5994,1,8,4.0,0.52632,Class B,0.0602,8.86,,,,364.45
CM-1443915,JAK1 EC50(uM),3.0,105.97,1.63,1.63,1,8,2.0,0.45,Class B,4.39,200.0,,,7.37,378.43
CM-1449695,JAK1 EC50(uM),3.0,77.15,1.521,-1.0575,2,7,2.0,0.66667,Class B,0.396,200.0,,,2.5,382.5
CM-1130596,JAK1 EC50(uM),3.0,102.97,0.78,0.7798,1,8,4.0,0.25,Class B,,,,,,371.4
CM-1267909,JAK1 EC50(uM),3.0,86.6,0.554,0.3933,1,8,3.0,0.52941,Class B,,46.0,,,,428.43
